﻿NUM_REG;NOMBRE_COMERCIAL;TELEFONO;CALLE;PROVINCIA;LOCALIDAD;MUNICIPIO;CODIGO_POSTAL;NUMERO
09-E1-00061;MARTIN ACINAS, ENRIQUE JONAS;947221507;PLAZA FRANCISCO SARMIENTO;BURGOS;BURGOS;BURGOS;09005;8
09-E1-00063;RUIZ PEREZ, MARIA TERESA;947170987;CALLE MAYOR;BURGOS;LERMA;LERMA;09340;2
09-E1-00076;PEREZ CHOMON, RAMON;947264733;CALLE AVDA. DEL ARLANZON;BURGOS;BURGOS;BURGOS;09004;15
09-E1-00078;MOZO GUTIERREZ, MARGARITA;947551098;CALLE SAN ROQUE;BURGOS;TORRESANDINO;TORRESANDINO;09310;3
09-E1-00080;SAEZ CORNEJO, ALFONSO;947220627;AVDA  CANTABRIA;BURGOS;BURGOS;BURGOS;09006;61
09-E1-00083;GUTIERREZ MARTI, ANA / GUTIERREZ MARTI, ANA;947207856;CALLE VILLALON;BURGOS;BURGOS;BURGOS;09003;9
09-E1-00084;VEGA PEREZ, BLADIMIR HECTOR;;AVDA  AVENIDA DE LOS DERECHOS HUMANOS;BURGOS;BURGOS;BURGOS;09007;33
09-E1-00088;DE CASTRO DEL POZO, MARIA ROSARIO;947225096;CALLE VICENTE ALEIXANDRE;BURGOS;BURGOS;BURGOS;09006;9
09-E1-00090;LLARENA PEÑA, RODRIGO;947229578;CALLE SAN FRANCISCO;BURGOS;BURGOS;BURGOS;09005;30
09-E1-00092;CACERES SAÑUDO, BEATRIZ;947208505;PASEO ISLA;BURGOS;BURGOS;BURGOS;09003;10
09-E1-00096;AGUILAR SANTAMARIA, JESUS;947269266;CALLE PROGRESO;BURGOS;BURGOS;BURGOS;09002;32
09-E1-00103;ALVARO REYZABAL, ELSA;947500039;CALLE PISUERGA;BURGOS;ARANDA DE DUERO;ARANDA DE DUERO;09400;3
09-E1-00104;LOSA VILLANUEVA, MARIA JOSE;947310328;CALLE VITORIA;BURGOS;MIRANDA DE EBRO;MIRANDA DE EBRO;09200;23
09-E1-00105;GARCIA CHINCHETRU, MARIA LUISA;947222131;CALLE VITORIA;BURGOS;BURGOS;BURGOS;09007;198
09-E1-00112;PERAITA PERAITA, MARIA CONCEPCION;947222577;PLAZA SAN BRUNO;BURGOS;BURGOS;BURGOS;09007;12
09-E1-00113;GONZALEZ DIEZ, JOSE ELOY;947270805;CALLE CALZADAS;BURGOS;BURGOS;BURGOS;09004;30
09-E1-00115;GRANDES HAZAS, SUSANA;945373136;CALLE SAN JUAN;BURGOS;PUEBLA DE ARGANZON (LA);PUEBLA DE ARGANZÓN, LA;09294;36
09-E1-00116;ALDANA RUIZ, NEMESIO;947273665;CALLE ROSA LIMA MANZANO;BURGOS;BURGOS;BURGOS;09003;7
09-E1-00117;SICILIA ESPUNY, BLANCA;947483202;CTRA  POZA;BURGOS;BURGOS;BURGOS;09007;101
09-E1-00123;PEREZ PUENTE, MERCEDES;947220730;CALLE VILLARCAYO;BURGOS;BURGOS;BURGOS;09005;8
09-E1-00129;ABASCAL DIAGO, TOMAS DAVID;947216422;CALLE SAN FRANCISCO;BURGOS;BURGOS;BURGOS;09005;31
09-E1-00136;ONTIYUELO PARADA, MARIA MERCEDES;947292307;CALLE IGLESIA;BURGOS;QUINTANILLA-VIVAR O QUINTANILLA MOROCISL;QUINTANILLA VIVAR;09140;4
09-E1-00137;ABAD MAMBRILLA, SUSANA;;CALLE RONDA SOPARRAL;BURGOS;OLMEDILLO DE ROA;OLMEDILLO DE ROA;09311;43
09-E1-00138;IÑIGO ULLOA, MARIA DEL ROSARIO;947390014;PLAZA MAYOR;BURGOS;SANTO DOMINGO DE SILOS;SANTO DOMINGO DE SILOS;09610;1
09-E1-00139;ESTEBAN BARTOLOME, JOAQUIN LUIS;947380009;CALLE Avda. Estación;BURGOS;SALAS DE LOS INFANTES;SALAS DE LOS INFANTES;09600;6
09-E1-00143;ASENJO MARTIN, ENCARNACION;947394450;CALLE FUENTE;BURGOS;REGUMIEL DE LA SIERRA;REGUMIEL DE LA SIERRA;09693;7
09-E1-00144;SANCHEZ HERNANDEZ, MARIA YOLANDA;947386196;CALLE SAN ROQUE;BURGOS;HONTORIA DEL PINAR;HONTORIA DEL PINAR;09660;9
09-E1-00145;ROL GOMEZ, CARLOS;947388026;CALLE RODRIGUEZ DE VALCARCEL;BURGOS;HUERTA DE REY;HUERTA DE REY;09430;4
09-E1-00146;PUERTA CAÑAS, MARIA REYES;947395039;CALLE ERNESTO SANZ Y SANZ;BURGOS;QUINTANAR DE LA SIERRA;QUINTANAR DE LA SIERRA;09670;6
09-E1-00149;MARTINEZ IRIARTE, IGNACIO;947150077;CALLE BURGOS;BURGOS;SEDANO;VALLE DE SEDANO;09142;70
09-E1-00152;BERTOLIN MORON, CARLOS;947360255;CALLE MAYOR;BURGOS;VILLADIEGO;VILLADIEGO;09120;8
09-E1-00155;FARMACIA LCDO. CASTRO CAMPOS, MANUEL A.;;CALLE REAL;BURGOS;QUINTANAS DE VALDELUCIO;VALLE DE VALDELUCIO;09127;0
09-E1-00158;BOTE ALVAREZ, NATALIA;947194162;CALLE CALLE CARRASQUEDO;BURGOS;QUINCOCES DE YUSO;VALLE DE LOSA;09510;8
09-E1-00159;FERNANDEZ ROZAS, NURIA;947192002;AVDA  BURGOS;BURGOS;MEDINA DE POMAR;MEDINA DE POMAR;09500;2
09-E1-00162;JORDAN VALDIZAN, JUDITH;947294270;CALLE POZO (EL);BURGOS;VILLAGONZALO PEDERNALES;VILLAGONZALO PEDERNALES;09195;59
09-E1-00166;GONZALEZ LOPEZ, ANA ELISA;947205836;CALLE EUROPA;BURGOS;BURGOS;BURGOS;09001;2
09-E1-00167;ANTOLIN ABAD, MARIA ANTONIA;947336206;CALLE CONDADO DE TREVIÑO;BURGOS;MIRANDA DE EBRO;MIRANDA DE EBRO;09200;36
09-E1-00169;GUEMES RUIZ, CARLOS;947482857;CALLE ESTEBAN SAEZ ALVARADO;BURGOS;BURGOS;BURGOS;09007;14
09-E1-00171;LOPEZ GONZALEZ, DIANA;;AVDA  ELADIO PERLADO;BURGOS;BURGOS;BURGOS;09007;66
09-E1-00175;TOMAS GARCIA, ANA;947470945;CALLE FEDERICO GARCIA LORCA;BURGOS;BURGOS;BURGOS;09007;17
09-E1-00179;GONZALEZ SANZ, RAQUEL;947224755;AVDA  CID CAMPEADOR;BURGOS;BURGOS;BURGOS;09005;85
09-E1-00188;PEREZ SANTOS, ANA MARIA;947205216;CALLE JUAN DE GARAY;BURGOS;BURGOS;BURGOS;09002;2
09-E1-00189;SANTIUSTE LOPEZ, ANA / SANTIUSTE LOPEZ, VANESA;;CALLE LUIS ALBERDI;BURGOS;BURGOS;BURGOS;;15
09-E1-00191;GARCIA MARCOS, MARIA PIEDAD;;CALLE CONDESA MENCIA;BURGOS;BURGOS;BURGOS;09006;139
09-E1-00202;CASTRO CAMPOS, MANUEL ANTONIO;;CALLE MADRE TERESA DE CALCUTA;BURGOS;BURGOS;BURGOS;09007;3
09-E1-00204;ORIVE SADORNIL, TERESA DE JESUS;;CALLE CARMEN SALLES;BURGOS;BURGOS;BURGOS;09006;S/N
09-E1-00206;LOPEZ GALLO, JENNIFER;;CALLE AVDA. DE BURGOS;BURGOS;MEDINA DE POMAR;MEDINA DE POMAR;;15
09-E1-00208;ROMERO SEIJAS, CESAR;947413525;CALLE Plaza Avelino Antolín Toledano;BURGOS;BURGOS;BURGOS;;13
09-E1-00210;MORAL TAJADURA, MARIA COVADONGA;;CALLE CALLE LOUDUM, ESQUINA CALLE;BURGOS;BURGOS;BURGOS;09006;S/N
24-E1-00001;HERNANDEZ BERCIANO, RAQUEL;;AVDA  GALICIA;LEON;CUATROVIENTOS;PONFERRADA;24400;66
24-E1-00003;ALVAREZ ALONSO, MONICA;987470297;AVDA  ASTURIAS;LEON;VILLABLINO;VILLABLINO;24100;75
24-E1-00004;ALONSO NUÑEZ, MARIA JOSE;;CALLE ANCHA;LEON;LEON;LEÓN;24003;3
24-E1-00019;MORETE DIAZ, JOSE ANTONIO;;AVDA  SANTA BARBARA;LEON;TORRE DEL BIERZO;TORRE DEL BIERZO;24370;46
24-E1-00022;DE CASTRO MARTIN, ROSA MARIA;;AVDA  QUEVEDO;LEON;LEON;LEÓN;24009;4
24-E1-00025;FERNANDEZ DE VEGA CHAVARRI, MARTA;;CALLE ANCHA;LEON;LEON;LEÓN;24003;23
24-E1-00028;RAMOS NATAL, MARIA;;CALLE DOCTOR SANTOS OLIVERA;LEON;HOSPITAL DE ORBIGO;HOSPITAL DE ÓRBIGO;24286;3
24-E1-00031;PALLARES DIEZ, LEONOR;987471047;CALLE LEITARIEGOS;LEON;VILLABLINO;VILLABLINO;24100;20
24-E1-00034;HIGUERA SOTO, PATRICIA;;CALLE GRAN VIA DE SAN MARCOS;LEON;LEON;LEÓN;24001;43
