GERENCIA;NOMBRE GERENCIA;CS;CENTRO;CONSULTORIO
1701;Gerencia de Ávila;170105;C.S. AVILA RURAL;C.L. BARRACO, EL
1701;Gerencia de Ávila;170117;C.S. PIEDRAHITA;C.L. MALPARTIDA DE CORNEJA
1701;Gerencia de Ávila;170105;C.S. AVILA RURAL;C.L. HERRADON, EL
1701;Gerencia de Ávila;170117;C.S. PIEDRAHITA;C.L. MARTINEZ
1702;Gerencia de Burgos;170209;C.S. BURGOS RURAL SUR;C.L. VILLALBILLA DE BURGOS
1701;Gerencia de Ávila;170117;C.S. PIEDRAHITA;C.L. MIRON, EL
1702;Gerencia de Burgos;170209;C.S. BURGOS RURAL SUR;C.L. VILLANUEVA DE ARGAÑO
1701;Gerencia de Ávila;170117;C.S. PIEDRAHITA;C.L. SAN BARTOLOME DE CORNEJA
1702;Gerencia de Burgos;170209;C.S. BURGOS RURAL SUR;C.L. VILLORUEBO
1701;Gerencia de Ávila;170118;C.S. SAN PEDRO ARROYO;C.L. PARRAL, EL
1702;Gerencia de Burgos;170211;C.S. ESPINOSA MONTEROS;C.L. CRUCERO, EL
1701;Gerencia de Ávila;170118;C.S. SAN PEDRO ARROYO;C.L. SIGERES
1702;Gerencia de Burgos;170212;C.S. GAMONAL ANTIGUA;C.L. VILLIMAR
1701;Gerencia de Ávila;170119;C.S. SOTILLO DE ADRADA;C.L. CASAVIEJA
1702;Gerencia de Burgos;170212;C.S. GAMONAL ANTIGUA;C.S. GAMONAL
1701;Gerencia de Ávila;170120;C.S. MUÑANA;C.L. POVEDA
1702;Gerencia de Burgos;170215;C.S. HUERTA DE REY;C.L. ARAUZO DE SALCE
1701;Gerencia de Ávila;170120;C.S. MUÑANA;C.L. SOLOSANCHO
1702;Gerencia de Burgos;170215;C.S. HUERTA DE REY;C.L. ARAUZO DE TORRE
1701;Gerencia de Ávila;170120;C.S. MUÑANA;C.L. TORRE, LA
1702;Gerencia de Burgos;170216;C.S. LERMA;C.L. BAHABON DE ESGUEVA
1701;Gerencia de Ávila;170121;C.S. MUÑICO;C.L. NARRILLOS DEL REBOLLAR
1702;Gerencia de Burgos;170216;C.S. LERMA;C.L. CASTRILLO DE SOLARANA
1702;Gerencia de Burgos;170202;C.S. ARANDA RURAL;C.L. SANTA CRUZ DE LA SALCEDA
1702;Gerencia de Burgos;170216;C.S. LERMA;C.L. PAULES DEL AGUA
1702;Gerencia de Burgos;170202;C.S. ARANDA RURAL;C.L. SEQUERA DE HAZA, LA
1702;Gerencia de Burgos;170216;C.S. LERMA;C.L. PINILLA TRASMONTE
1702;Gerencia de Burgos;170204;C.S. BELORADO;C.L. VILLANASUR RIO
1702;Gerencia de Burgos;170220;C.S. MELGAR FERNAMENTAL;C.L. CASTELLANOS DE CASTRO
1702;Gerencia de Burgos;170205;C.S. BRIVIESCA;C.L. OÑA
1702;Gerencia de Burgos;170220;C.S. MELGAR FERNAMENTAL;C.L. CASTRILLO DE RIOPISUERGA
1702;Gerencia de Burgos;170205;C.S. BRIVIESCA;C.L. REINOSO
1702;Gerencia de Burgos;170220;C.S. MELGAR FERNAMENTAL;C.L. PADILLA DE ABAJO
1702;Gerencia de Burgos;170205;C.S. BRIVIESCA;C.L. SALAS DE BUREBA
1702;Gerencia de Burgos;170220;C.S. MELGAR FERNAMENTAL;C.L. PADILLA DE ARRIBA
1702;Gerencia de Burgos;170205;C.S. BRIVIESCA;C.L. VID DE BUREBA, LA
1702;Gerencia de Burgos;170220;C.S. MELGAR FERNAMENTAL;C.L. SAN LLORENTE DE LA VEGA
1702;Gerencia de Burgos;170205;C.S. BRIVIESCA;C.L. VILLANUEVA DE TEBA
1702;Gerencia de Burgos;170220;C.S. MELGAR FERNAMENTAL;C.L. VALBONILLA
1702;Gerencia de Burgos;170208;C.S. BURGOS RURAL NORTE;C.L. ATAPUERCA
1702;Gerencia de Burgos;170220;C.S. MELGAR FERNAMENTAL;C.L. VILLAQUIRAN DE LA PUEBLA
1702;Gerencia de Burgos;170208;C.S. BURGOS RURAL NORTE;C.L. BARRIOS DE COLINA
1702;Gerencia de Burgos;170221;C.S. MIRANDA ESTE;C.L. BOZOO
1702;Gerencia de Burgos;170208;C.S. BURGOS RURAL NORTE;C.L. HINIESTRA
1702;Gerencia de Burgos;170221;C.S. MIRANDA ESTE;C.L. PANCORBO
1702;Gerencia de Burgos;170208;C.S. BURGOS RURAL NORTE;C.L. NIDAGUILA
1702;Gerencia de Burgos;170223;C.S. PAMPLIEGA;C.L. IGLESIAS
1702;Gerencia de Burgos;170208;C.S. BURGOS RURAL NORTE;C.L. NUEZ DE ABAJO LA
1702;Gerencia de Burgos;170225;C.S. ROA DE DUERO;C.L. CUEVA DE ROA LA
1702;Gerencia de Burgos;170208;C.S. BURGOS RURAL NORTE;C.L. PARAMO DE ARROYO
1702;Gerencia de Burgos;170225;C.S. ROA DE DUERO;C.L. TORTOLES DE ESGUEVA
1702;Gerencia de Burgos;170208;C.S. BURGOS RURAL NORTE;C.L. QUINTANARRUZ
1702;Gerencia de Burgos;170225;C.S. ROA DE DUERO;C.L. VILLOVELA DE ESGUEVA
1702;Gerencia de Burgos;170208;C.S. BURGOS RURAL NORTE;C.L. SAN PANTELEON DEL PARAMO
1702;Gerencia de Burgos;170226;C.S. SALAS LOS INFANTES;C.L. BARBADILLO DEL MERCADO
1702;Gerencia de Burgos;170208;C.S. BURGOS RURAL NORTE;C.L. SOTRAGERO
1702;Gerencia de Burgos;170226;C.S. SALAS LOS INFANTES;C.L. PINILLA DE LOS BARRUECOS
1702;Gerencia de Burgos;170208;C.S. BURGOS RURAL NORTE;C.L. TEMIÑO
1702;Gerencia de Burgos;170226;C.S. SALAS LOS INFANTES;C.L. SAN MILLAN DE LARA
1702;Gerencia de Burgos;170208;C.S. BURGOS RURAL NORTE;C.L. TREMELLOS LOS
1702;Gerencia de Burgos;170232;C.S. VALLE VALDEBEZANA;C.L. BARRIO DE BRICIA
1702;Gerencia de Burgos;170208;C.S. BURGOS RURAL NORTE;C.L. UBIERNA
1702;Gerencia de Burgos;170232;C.S. VALLE VALDEBEZANA;C.L. MONTEJO DE BRICIA
1702;Gerencia de Burgos;170208;C.S. BURGOS RURAL NORTE;C.L. URREZ
1702;Gerencia de Burgos;170233;C.S. VILLADIEGO;C.L. BARRIOS DE VILLADIEGO
1702;Gerencia de Burgos;170208;C.S. BURGOS RURAL NORTE;C.L. VILLALONQUEJAR
1702;Gerencia de Burgos;170233;C.S. VILLADIEGO;C.L. FUENTE URBEL
1702;Gerencia de Burgos;170208;C.S. BURGOS RURAL NORTE;C.L. VILLAYERNO MORQUILLAS
1702;Gerencia de Burgos;170233;C.S. VILLADIEGO;C.L. GRIJALBA
1702;Gerencia de Burgos;170208;C.S. BURGOS RURAL NORTE;C.L. VIVAR DEL CID
1702;Gerencia de Burgos;170233;C.S. VILLADIEGO;C.L. HUMADA
1702;Gerencia de Burgos;170209;C.S. BURGOS RURAL SUR;C.L. ARROYO DE MUÑO
1702;Gerencia de Burgos;170233;C.S. VILLADIEGO;C.L. PIEDRA LA
1702;Gerencia de Burgos;170209;C.S. BURGOS RURAL SUR;C.L. CABIA
1702;Gerencia de Burgos;170233;C.S. VILLADIEGO;C.L. QUINTANILLA DE LA PRESA
1702;Gerencia de Burgos;170209;C.S. BURGOS RURAL SUR;C.L. CAÑIZAR DE ARGAÑO
1702;Gerencia de Burgos;170233;C.S. VILLADIEGO;C.L. REBOLLEDO TRASPEÑA
1702;Gerencia de Burgos;170209;C.S. BURGOS RURAL SUR;C.L. CUBILLO DEL CAMPO
1702;Gerencia de Burgos;170234;C.S. VALLE DE MENA;C.L. SOPEÑANO
1702;Gerencia de Burgos;170209;C.S. BURGOS RURAL SUR;C.L. LODOSO
1703;Gerencia de León;170327;C.S. VALENCIA DE D. JUAN;C.L. MATADEON DE LOS OTEROS
1702;Gerencia de Burgos;170209;C.S. BURGOS RURAL SUR;C.L. MODUBAR DE SAN CIBRIAN
1703;Gerencia de León;170301;C.S. ARMUNIA;C.L. VILLALOBAR
1702;Gerencia de Burgos;170209;C.S. BURGOS RURAL SUR;C.L. MOZONCILLO DE JUARRROS
1703;Gerencia de León;170327;C.S. VALENCIA DE D. JUAN;C.L. VILLACE
1702;Gerencia de Burgos;170209;C.S. BURGOS RURAL SUR;C.L. PALACIOS DE BENAVER
1703;Gerencia de León;170303;C.S. ASTORGA II;C.L. CASTRO DE CEPEDA
1702;Gerencia de Burgos;170209;C.S. BURGOS RURAL SUR;C.L. PALAZUELOS DE LA SIERRA
1703;Gerencia de León;170327;C.S. VALENCIA DE D. JUAN;C.L. VILLAORNATE
1702;Gerencia de Burgos;170209;C.S. BURGOS RURAL SUR;C.L. PEDROSA DEL MUÑO
1703;Gerencia de León;170303;C.S. ASTORGA II;C.L. MOLINAFERRERA
1702;Gerencia de Burgos;170209;C.S. BURGOS RURAL SUR;C.L. RABE DE LAS CALZADAS
1704;Gerencia de Ponferrada;170401;C.S. BEMBIBRE;C.L. ALBARES LA RIBERA
1701;Gerencia de Ávila;170105;C.S. AVILA RURAL;C.L. RINCONADA , LA (BARRACO)
1703;Gerencia de León;170303;C.S. ASTORGA II;C.L. SAN FELIZ LAVANDERAS
1701;Gerencia de Ávila;170105;C.S. AVILA RURAL;C.L. SAN BARTOLOME DE PINARES
1704;Gerencia de Ponferrada;170401;C.S. BEMBIBRE;C.L. SAN ESTEBAN DE TORAL
1701;Gerencia de Ávila;170105;C.S. AVILA RURAL;C.L. SANTO DOMINGO DE LAS POSADAS
1703;Gerencia de León;170303;C.S. ASTORGA II;C.N. POBLADURA DE LA SIERRA
1701;Gerencia de Ávila;170106;C.S. LANZAHITA;C.L. GAVILANES
1704;Gerencia de Ponferrada;170401;C.S. BEMBIBRE;C.L. SANTA MARINA DE TORRE
1701;Gerencia de Ávila;170108;C.S. BARCO DE AVILA;C.L. NAVALONGUILLA
1703;Gerencia de León;170304;C.S. SAN EMILIANO;C.L. ROBLEDO DE CALDAS
1701;Gerencia de Ávila;170108;C.S. BARCO DE AVILA;C.L. ORTIGOSA DE TORMES
1704;Gerencia de Ponferrada;170401;C.S. BEMBIBRE;C.L. TREMOR DE ARRIBA
1701;Gerencia de Ávila;170108;C.S. BARCO DE AVILA;C.L. VALLEHONDO
1703;Gerencia de León;170306;C.S. CISTIERNA;C.L. OLLEROS DE SABERO
1701;Gerencia de Ávila;170109;C.S. BURGOHONDO;C.L. VILLANUEVA DE AVILA
1704;Gerencia de Ponferrada;170403;C.S. FABERO;C.L. FONTORIA
1701;Gerencia de Ávila;170112;C.S. FONTIVEROS;C.L. BERNUY- ZAPARDIEL
1703;Gerencia de León;170306;C.S. CISTIERNA;C.S. CISTIERNA
1701;Gerencia de Ávila;170112;C.S. FONTIVEROS;C.L. COLLADO DE CONTRERAS
1703;Gerencia de León;170307;C.S. CUENCA BERNESGA;C.L. BUIZA
1701;Gerencia de Ávila;170112;C.S. FONTIVEROS;C.L. MUÑOSANCHO
1704;Gerencia de Ponferrada;170404;C.S. PONFERRADA I;C.L. SAN ESTEBAN VALDU.
1701;Gerencia de Ávila;170113;C.S. NAVARREDONDA GREDOS;C.L. HOYOS DEL COLLADO
1703;Gerencia de León;170308;C.S. LA BAÑEZA I;C.L. SOTO DE LA VEGA
1701;Gerencia de Ávila;170117;C.S. PIEDRAHITA;C.L. NAVAESCURIAL
1704;Gerencia de Ponferrada;170407;C.S. PUENTE DOMINGO FLOREZ;C.L. CAMPAÑANA
1701;Gerencia de Ávila;170117;C.S. PIEDRAHITA;C.L. SAN MIGUEL DE SERREZUELA
1704;Gerencia de Ponferrada;170408;C.S. TORENO;C.L. MATARROSA DEL SIL
1701;Gerencia de Ávila;170117;C.S. PIEDRAHITA;C.L. SANTIAGO DEL COLLADO
1704;Gerencia de Ponferrada;170409;C.S. VILLABLINO;C.L. CABOALLES DE ABAJO
1701;Gerencia de Ávila;170118;C.S. SAN PEDRO ARROYO;C.L. VIÑEGRA DE MORAÑA
1704;Gerencia de Ponferrada;170410;C.S. VILLAFRANCA BIERZO;C.L. TORAL VADOS
1701;Gerencia de Ávila;170119;C.S. SOTILLO DE ADRADA;C.L. CASILLAS
1704;Gerencia de Ponferrada;170410;C.S. VILLAFRANCA BIERZO;C.L.CABARCOS
1701;Gerencia de Ávila;170120;C.S. MUÑANA;C.L. BALBARDA
1704;Gerencia de Ponferrada;170411;C.S. PONFERRADA IV;C.S. PONFERRADA IV
1701;Gerencia de Ávila;170120;C.S. MUÑANA;C.L. GUAREÑA
1705;Gerencia de Palencia;170501;C.S. AGUILAR DE CAMPOO;C.L. POMAR DE VALDIVIA
1701;Gerencia de Ávila;170120;C.S. MUÑANA;C.L. HIJA DE DIOS, LA
1705;Gerencia de Palencia;170501;C.S. AGUILAR DE CAMPOO;C.L. SALCEDILLO
1701;Gerencia de Ávila;170121;C.S. MUÑICO;C.L. VIÑEGRA DE LA SIERRA
1705;Gerencia de Palencia;170501;C.S. AGUILAR DE CAMPOO;C.L. TRASHAEDO DEL TOZO
1702;Gerencia de Burgos;170202;C.S. ARANDA RURAL;C.L. FUENTENEBRO
1705;Gerencia de Palencia;170501;C.S. AGUILAR DE CAMPOO;C.L. VALLESPINOSO DE AGUILAR
1702;Gerencia de Burgos;170202;C.S. ARANDA RURAL;C.L. MORADILLO DE ROA
1705;Gerencia de Palencia;170502;C.S. BALTANAS;C.S. BALTANAS
1702;Gerencia de Burgos;170202;C.S. ARANDA RURAL;C.L. VILLALVILLA DE MONTEJO
1703;Gerencia de León;170309;C.S. BAÑEZA II;C.L. HERREROS DE JAMUZ
1702;Gerencia de Burgos;170204;C.S. BELORADO;C.L. QUINTANILLA DEL MONTE
