NOMBRE GERENCIA;CÓDIGO ZONA;NOMBRE ZONA;NOMBRE CENTRO SALUD;MUNICIPIO;PAC
G.A.P. SALAMANCA;170610;FUENTES DE OÑORO;C.S. FUENTES DE OÑORO;ALDEA DEL OBISPO;P.A.C. Fuentes De Oñoro
G.A.S. SEGOVIA;170702;CARBONERO EL MAYOR;C.S. CARBONERO EL MAYOR;ALDEA REAL;P.A.C. Carbonero El Mayor
G.A.P. SALAMANCA;170603;BEJAR;C.S. BEJAR;ALDEACIPRESTE;P.A.C. Bejar
G.A.P. SALAMANCA;170602;ALDEADAVILA DE LA RIBERA;C.S. ALDEADAVILA RIBERA;ALDEADAVILA DE LA RIBERA;P.A.C. Aldeadavila Ribera
G.A.S. SORIA;170811;SORIA RURAL;C.S. SORIA RURAL;ALDEALAFUENTE;P.A.C. Soria Rural Norte Y Sur
G.A.S. SEGOVIA;170701;CANTALEJO;C.S. CANTALEJO;ALDEALCORVO;P.A.C. Cantalejo
G.A.P. SALAMANCA;170622;PERIURBANA NORTE;C.S. PERIURBANA NORTE;ALDEALENGUA;P.A.C. Periurbana Norte
G.A.S. SEGOVIA;170705;SIERRA LA;C.S. NAVAFRIA;ALDEALENGUA DE PEDRAZA;P.A.C. Navafría
G.A.S. SEGOVIA;170707;RIAZA;C.S. RIAZA;ALDEALENGUA DE SANTA MARIA;P.A.C. Riaza
G.A.S. SORIA;170811;SORIA RURAL;C.S. SORIA RURAL;ALDEALICES;P.A.C. Soria Rural Norte Y Sur
G.A.S. SORIA;170811;SORIA RURAL;C.S. SORIA RURAL;ALDEALPOZO;P.A.C. Soria Rural Norte Y Sur
G.A.S. SORIA;170811;SORIA RURAL;C.S. SORIA RURAL;ALDEALSEÑOR;P.A.C. Soria Rural Norte Y Sur
G.A.P. VALLADOLID ESTE;171016;PORTILLO;C.S. PORTILLO;ALDEAMAYOR DE SAN MARTIN;P.A.C. Portillo
G.A.P. SALAMANCA;170621;PEDROSILLO EL RALO;C.S. PEDROSILLO EL RALO;ALDEANUEVA DE FIGUEROA;P.A.C. Pedrosillo El Ralo
G.A.S. SEGOVIA;170712;SEPULVEDA;C.S. SEPULVEDA;ALDEANUEVA DE LA SERREZUELA;P.A.C. Sepúlveda
G.A.P. SALAMANCA;170630;TAMAMES;C.S. TAMAMES;ALDEANUEVA DE LA SIERRA;P.A.C. Tamames
G.A.S. AVILA;170108;BARCO DE AVILA EL;C.S. BARCO DE AVILA;ALDEANUEVA DE SANTA CRUZ;P.A.C. Barco de Ávila
G.A.S. SEGOVIA;170706;NAVA DE LA ASUNCION;C.S. NAVA DE LA ASUNCION;ALDEANUEVA DEL CODONAL;P.A.C. Nava De La Asunción
G.A.P. SALAMANCA;170604;CALZADA DE VALDUNCIEL;C.S. CALZADA VALDUNCIEL;ALDEARRODRIGO;P.A.C. Calzada Valdunciel
G.A.P. SALAMANCA;170622;PERIURBANA NORTE;C.S. PERIURBANA NORTE;ALDEARRUBIA;P.A.C. Periurbana Norte
G.A.S. AVILA;170102;AREVALO;C.S. AREVALO;ALDEASECA;P.A.C. Arévalo
G.A.P. SALAMANCA;170601;ALBA DE TORMES;C.S. ALBA DE TORMES;ALDEASECA DE ALBA;P.A.C. Alba De Tormes
G.A.P. SALAMANCA;170624;PEÑARANDA DE BRACAMONTE;C.S. PEÑARANDA;ALDEASECA DE LA FRONTERA;P.A.C. Peñaranda
