NOMBRE GERENCIA;CÓDIGO ZONA;NOMBRE ZONA;NOMBRE CENTRO SALUD;MUNICIPIO;PAC
G.A.S. SEGOVIA;170706;NAVA DE LA ASUNCION;C.S. NAVA DE LA ASUNCION;COCA;P.A.C. Nava De La Asunción
G.A.P. SALAMANCA;170601;ALBA DE TORMES;C.S. ALBA DE TORMES;COCA DE ALBA;P.A.C. Alba De Tormes
G.A.S. AVILA;170102;AREVALO;C.S. AREVALO;CODORNIZ;P.A.C. Arévalo
G.A.P. VALLADOLID ESTE;171006;ISCAR;C.S. ISCAR;COGECES DE ISCAR;P.A.C. Íscar
G.A.P. VALLADOLID ESTE;171015;PEÑAFIEL;C.S. PEÑAFIEL;COGECES DEL MONTE;P.A.C. Peñafiel
G.A.P. BURGOS;170209;BURGOS RURAL SUR;C.S. BURGOS RURAL SUR;COGOLLOS;P.A.C. Burgos Rural Norte Sur
G.A.S. AVILA;170105;AVILA RURAL;C.S. AVILA RURAL;COLILLA (LA);P.A.C. Ávila Rural
G.A.S. AVILA;170112;FONTIVEROS;C.S. FONTIVEROS;COLLADO DE CONTRERAS;P.A.C. Fontiveros
G.A.S. AVILA;170117;PIEDRAHITA;C.S. PIEDRAHITA;COLLADO DEL MIRON;P.A.C. Piedrahita
G.A.S. SEGOVIA;170705;SIERRA LA;C.S. NAVAFRIA;COLLADO HERMOSO;P.A.C. Navafría
G.A.S. PALENCIA;170507;HERRERA DE PISUERGA;C.S. HERRERA DE PISUERGA;COLLAZOS DE BOEDO;P.A.C. Herrera De Pisuerga
G.A.P. SALAMANCA;170603;BEJAR;C.S. BEJAR;COLMENAR DE MONTEMAYOR;P.A.C. Bejar
G.A.S. SEGOVIA;170712;SEPULVEDA;C.S. SEPULVEDA;CONDADO DE CASTILNOVO;P.A.C. Sepúlveda
G.A.P. BURGOS;170210;CONDADO DE TREVIÑO;C.S. CONDADO DE TREVIÑO;CONDADO DE TREVIÑO;P.A.C. Condado De Treviño
G.A.S. EL BIERZO;170404;PONFERRADA I;C.S. PONFERRADA I;CONGOSTO;P.A.C. Ponferrada
G.A.S. PALENCIA;170514;SALDAÑA;C.S. SALDAÑA;CONGOSTO DE VALDAVIA;P.A.C. Saldaña
G.A.S. PALENCIA;170506;GUARDO;C.S. GUARDO;CONGOSTO DE VALDAVIA;P.A.C. Guardo
G.A.S. AVILA;170102;AREVALO;C.S. AREVALO;CONSTANZANA;P.A.C. Arévalo
G.A.S. AVILA;170112;FONTIVEROS;C.S. FONTIVEROS;CONSTANZANA;P.A.C. Fontiveros
G.A.P. BURGOS;170226;SALAS DE LOS INFANTES;C.S. SALAS LOS INFANTES;CONTRERAS;P.A.C. Salas Los Infantes
G.A.S. ZAMORA;171104;BENAVENTE NORTE;C.S. BENAVENTE NORTE;COOMONTE;P.A.C. Benavente
G.A.P. LEON;170318;MANSILLA DE LAS MULAS;C.S. MANSILLA MULAS;CORBILLOS DE LOS OTEROS;P.A.C. Mansilla Mulas
G.A.P. VALLADOLID ESTE;171026;CIGALES;C.S. CIGALES;CORCOS;P.A.C. Cigales
G.A.P. SALAMANCA;170633;VILLORIA;C.S. VILLORIA;CORDOVILLA;P.A.C. Villoria
G.A.S. PALENCIA;170516;TORQUEMADA;C.S. TORQUEMADA;CORDOVILLA LA REAL;P.A.C. Torquemada
G.A.S. ZAMORA;171121;ZAMORA NORTE;C.S. ZAMORA NORTE;CORESES;P.A.C. Zamora Integrado
G.A.S. SEGOVIA;170707;RIAZA;C.S. RIAZA;CORRAL DE AYLLON;P.A.C. Riaza
G.A.S. ZAMORA;171110;CORRALES DEL VINO;C.S. CORRALES DEL VINO;CORRALES;P.A.C. Corrales Del Vino
G.A.P. VALLADOLID ESTE;171015;PEÑAFIEL;C.S. PEÑAFIEL;CORRALES DE DUERO;P.A.C. Peñafiel
G.A.S. ZAMORA;171110;CORRALES DEL VINO;C.S. CORRALES DEL VINO;CORRALES DEL VINO;P.A.C. Corrales Del Vino
G.A.S. EL BIERZO;170410;VILLAFRANCA DEL BIERZO;C.S. VILLAFRANCA BIERZO;CORULLON;P.A.C. Villafranca Bierzo
G.A.P. BURGOS;170215;HUERTA DEL REY;C.S. HUERTA DE REY;CORUÑA DEL CONDE;P.A.C. Huerta De Rey
G.A.S. SORIA;170802;ALMAZAN;C.S. ALMAZAN;COSCURITA;P.A.C. Almazán
G.A.S. ZAMORA;171119;VILLALPANDO;C.S. VILLALPANDO;COTANES DEL MONTE;P.A.C. Villalpando
G.A.S. SORIA;170809;PINARES-COVALEDA;C.S. PINARES-COVALEDA;COVALEDA;P.A.C. Pinares-Covaleda
G.A.P. BURGOS;170216;LERMA;C.S. LERMA;COVARRUBIAS;P.A.C. Lerma
G.A.S. SEGOVIA;170704;FUENTESAUCO DE FUENTIDUEÑA;C.S. FUENTESAUCO;COZUELOS DE FUENTIDUEÑA;P.A.C. Fuentesauco
G.A.P. LEON;170306;CISTIERNA;C.S. CISTIERNA;CREMENES;P.A.C. Cistierna
G.A.S. AVILA;170112;FONTIVEROS;C.S. FONTIVEROS;CRESPOS;P.A.C. Fontiveros
G.A.P. SALAMANCA;170603;BEJAR;C.S. BEJAR;CRISTOBAL;P.A.C. Bejar
G.A.P. LEON;170324;SAN ANDRES RABANEDO;C.S. SAN ANDRES RABANEDO;CUADROS;P.A.C. Trobajo
G.A.S. SORIA;170810;SAN LEONARDO DE YAGUE;C.S. SAN LEONARDO YAGÜE;CUBILLA;P.A.C. San Leonardo Yagüe
G.A.S. PALENCIA;170517;VENTA DE BAÑOS;C.S. VENTA DE BAÑOS;CUBILLAS DE CERRATO;P.A.C. Venta De Baños
G.A.P. LEON;170327;VALENCIA DE DON JUAN;C.S. VALENCIA DE D. JUAN;CUBILLAS DE LOS OTEROS;P.A.C. Valencia De D. Juan
G.A.P. LEON;170321;RIBERA DEL ESLA;C.S. RIBERA DEL ESLA;CUBILLAS DE RUEDA;P.A.C. Ribera Del Esla
G.A.P. VALLADOLID ESTE;171026;CIGALES;C.S. CIGALES;CUBILLAS DE SANTA MARTA;P.A.C. Cigales
G.A.S. SEGOVIA;170701;CANTALEJO;C.S. CANTALEJO;CUBILLO;P.A.C. Cantalejo
G.A.P. BURGOS;170209;BURGOS RURAL SUR;C.S. BURGOS RURAL SUR;CUBILLO DEL CAMPO;P.A.C. Burgos Rural Norte Sur
G.A.S. ZAMORA;171121;ZAMORA NORTE;C.S. ZAMORA NORTE;CUBILLOS;P.A.C. Zamora Integrado
G.A.S. EL BIERZO;170405;PONFERRADA II;C.S. PONFERRADA II;CUBILLOS DEL SIL;P.A.C. Ponferrada
G.A.S. ZAMORA;171118;VIDRIALES;C.S. SANTIBAÑEZ VIDRIAL;CUBO DE BENAVENTE;P.A.C. Santibañez Vidriales
G.A.P. BURGOS;170205;BRIVIESCA;C.S. BRIVIESCA;CUBO DE BUREBA;P.A.C. Briviesca
G.A.P. SALAMANCA;170608;FUENTE DE SAN ESTEBAN LA;C.S. FUENTE DE SAN ESTEBAN;CUBO DE DON SANCHO (EL);P.A.C. Fuente De San Esteban
G.A.S. SORIA;170811;SORIA RURAL;C.S. SORIA RURAL;CUBO DE LA SOLANA;P.A.C. Soria Rural Norte Y Sur
G.A.S. ZAMORA;171110;CORRALES DEL VINO;C.S. CORRALES DEL VINO;CUBO DE TIERRA DEL VINO (EL);P.A.C. Corrales Del Vino
G.A.S. ZAMORA;171110;CORRALES DEL VINO;C.S. CORRALES DEL VINO;CUELGAMURES;P.A.C. Corrales Del Vino
G.A.S. SEGOVIA;170703;CUELLAR;C.S. CUELLAR;CUELLAR;P.A.C. Cuellar
G.A.P. VALLADOLID OESTE;170925;VILLALON DE CAMPOS;C.S. VILLALON DE CAMPOS;CUENCA DE CAMPOS;P.A.C. Villalón De Campos
G.A.S. SORIA;170808;OLVEGA;C.S. OLVEGA;CUEVA DE AGREDA;P.A.C. Olvega
G.A.P. BURGOS;170225;ROA DE DUERO;C.S. ROA DE DUERO;CUEVA DE ROA (LA);P.A.C. Roa De Duero
G.A.S. SEGOVIA;170716;SACRAMENIA;C.S. SACRAMENIA;CUEVAS DE PROVANCO;P.A.C. Sacramenia
G.A.P. BURGOS;170216;LERMA;C.S. LERMA;CUEVAS DE SAN CLEMENTE;P.A.C. Lerma
G.A.S. AVILA;170116;MOMBELTRAN;C.S. MOMBELTRAN;CUEVAS DEL VALLE;P.A.C. Mombeltrán
G.A.P. VALLADOLID ESTE;171015;PEÑAFIEL;C.S. PEÑAFIEL;CURIEL DE DUERO;P.A.C. Peñafiel
G.A.S. PALENCIA;170504;CERVERA PISUERGA;C.S. CERVERA PISUERGA;DEHESA DE MONTEJO;P.A.C. Cervera Pisuerga
G.A.S. PALENCIA;170507;HERRERA DE PISUERGA;C.S. HERRERA DE PISUERGA;DEHESA DE ROMANOS;P.A.C. Herrera De Pisuerga
G.A.P. LEON;170309;BAÑEZA II LA;C.S. BAÑEZA II;DESTRIANA;P.A.C. La Bañeza
G.A.S. SORIA;170801;AGREDA;C.S. AGREDA;DEVANOS;P.A.C. Ágreda
G.A.S. SORIA;170807;GOMARA;C.S. GOMARA;DEZA;P.A.C. Gómara
G.A.S. AVILA;170117;PIEDRAHITA;C.S. PIEDRAHITA;DIEGO DEL CARPIO;P.A.C. Piedrahita
G.A.P. SALAMANCA;170630;TAMAMES;C.S. TAMAMES;DIOS LE GUARDE;P.A.C. Tamames
G.A.S. SEGOVIA;170706;NAVA DE LA ASUNCION;C.S. NAVA DE LA ASUNCION;DOMINGO GARCIA;P.A.C. Nava De La Asunción
G.A.S. AVILA;170102;AREVALO;C.S. AREVALO;DONHIERRO;P.A.C. Arévalo
G.A.P. SALAMANCA;170616;LEDESMA;C.S. LEDESMA;DOÑINOS DE LEDESMA;P.A.C. Ledesma
G.A.P. SALAMANCA;170623;PERIURBANA SUR;C.S. PERIURBANO SUR;DOÑINOS DE SALAMANCA;P.A.C. Periurbano Sur
G.A.S. AVILA;170102;AREVALO;C.S. AREVALO;DONJIMENO;P.A.C. Arévalo
G.A.S. AVILA;170102;AREVALO;C.S. AREVALO;DONVIDAS;P.A.C. Arévalo
G.A.S. PALENCIA;170517;VENTA DE BAÑOS;C.S. VENTA DE BAÑOS;DUEÑAS;P.A.C. Venta De Baños
G.A.S. SEGOVIA;170712;SEPULVEDA;C.S. SEPULVEDA;DURUELO;P.A.C. Sepúlveda
G.A.S. SORIA;170809;PINARES-COVALEDA;C.S. PINARES-COVALEDA;DURUELO DE LA SIERRA;P.A.C. Pinares-Covaleda
G.A.P. SALAMANCA;170601;ALBA DE TORMES;C.S. ALBA DE TORMES;EJEME;P.A.C. Alba De Tormes
G.A.P. SALAMANCA;170606;CIUDAD RODRIGO;C.S. CIUDAD RODRIGO;ENCINA (LA);P.A.C. Ciudad Rodrigo
G.A.P. SALAMANCA;170616;LEDESMA;C.S. LEDESMA;ENCINA DE SAN SILVESTRE;P.A.C. Ledesma
G.A.S. SEGOVIA;170712;SEPULVEDA;C.S. SEPULVEDA;ENCINAS;P.A.C. Sepúlveda
G.A.P. SALAMANCA;170628;SANTA MARTA DE TORMES;C.S. SANTA MARTA DE TORMES;ENCINAS DE ABAJO;P.A.C. Santa Marta De Tormes
G.A.P. SALAMANCA;170601;ALBA DE TORMES;C.S. ALBA DE TORMES;ENCINAS DE ARRIBA;P.A.C. Alba De Tormes
G.A.P. VALLADOLID ESTE;171002;ESGUEVILLAS ESGUEVA;C.S. ESGUEVILLAS;ENCINAS DE ESGUEVA;P.A.C. Esguevillas
G.A.P. SALAMANCA;170634;VITIGUDINO;C.S. VITIGUDINO;ENCINASOLA DE LOS COMENDADORES;P.A.C. Vitigudino
G.A.P. LEON;170310;CABRERA LA;C.S. TRUCHAS;ENCINEDO;P.A.C Truchas
G.A.S. SEGOVIA;170711;SEGOVIA RURAL;C.S. SEGOVIA RURAL;ENCINILLAS;P.A.C. Segovia Rural
G.A.P. SALAMANCA;170617;LINARES DE RIOFRIO;C.S. LINARES DE RIOFRIO;ENDRINAL;P.A.C. Linares De Riofrío
G.A.S. ZAMORA;171122;ZAMORA SUR;C.S. ZAMORA SUR;ENTRALA;P.A.C. Zamora Integrado
G.A.P. LEON;170306;CISTIERNA;C.S. CISTIERNA;ERCINA (LA);P.A.C. Cistierna
G.A.S. SEGOVIA;170702;CARBONERO EL MAYOR;C.S. CARBONERO EL MAYOR;ESCALONA DEL PRADO;P.A.C. Carbonero El Mayor
G.A.S. SEGOVIA;170702;CARBONERO EL MAYOR;C.S. CARBONERO EL MAYOR;ESCARABAJOSA DE CABEZAS;P.A.C. Carbonero El Mayor
G.A.P. LEON;170323;SAHAGUN DE CAMPOS;C.S. SAHAGUN CAMPOS;ESCOBAR DE CAMPOS;P.A.C. Sahagún Campos
G.A.S. SEGOVIA;170702;CARBONERO EL MAYOR;C.S. CARBONERO EL MAYOR;ESCOBAR DE POLENDOS;P.A.C. Carbonero El Mayor
G.A.S. SORIA;170802;ALMAZAN;C.S. ALMAZAN;ESCOBOSA DE ALMAZAN;P.A.C. Almazán
G.A.P. SALAMANCA;170617;LINARES DE RIOFRIO;C.S. LINARES DE RIOFRIO;ESCURIAL DE LA SIERRA;P.A.C. Linares De Riofrío
G.A.P. VALLADOLID ESTE;171002;ESGUEVILLAS ESGUEVA;C.S. ESGUEVILLAS;ESGUEVILLAS DE ESGUEVA;P.A.C. Esguevillas
G.A.P. SALAMANCA;170634;VITIGUDINO;C.S. VITIGUDINO;ESPADAÑA;P.A.C. Vitigudino
G.A.S. ZAMORA;171109;CARBALLEDA;C.S. MOMBUEY;ESPADAÑEDO;P.A.C. Mombuey
G.A.P. SALAMANCA;170610;FUENTES DE OÑORO;C.S. FUENTES DE OÑORO;ESPEJA;P.A.C. Fuentes De Oñoro
G.A.S. SORIA;170810;SAN LEONARDO DE YAGUE;C.S. SAN LEONARDO YAGÜE;ESPEJA DE SAN MARCELINO;P.A.C. San Leonardo Yagüe
G.A.S. SORIA;170810;SAN LEONARDO DE YAGUE;C.S. SAN LEONARDO YAGÜE;ESPEJON;P.A.C. San Leonardo Yagüe
G.A.S. SEGOVIA;170714;ESPINAR EL;C.S. EL ESPINAR;ESPINAR (EL);P.A.C. El Espinar
G.A.P. SALAMANCA;170621;PEDROSILLO EL RALO;C.S. PEDROSILLO EL RALO;ESPINO DE LA ORBADA;P.A.C. Pedrosillo El Ralo
G.A.S. PALENCIA;170502;BALTANAS;C.S. BALTANAS;ESPINOSA DE CERRATO;P.A.C. Baltanás
G.A.P. BURGOS;170202;ARANDA DE DUERO RURAL;C.S. ARANDA RURAL;ESPINOSA DE CERVERA;P.A.C. Aranda
G.A.S. AVILA;170102;AREVALO;C.S. AREVALO;ESPINOSA DE LOS CABALLEROS;P.A.C. Arévalo
G.A.P. BURGOS;170211;ESPINOSA DE LOS MONTEROS;C.S. ESPINOSA MONTEROS;ESPINOSA DE LOS MONTEROS;P.A.C. Espinosa Monteros
G.A.S. PALENCIA;170510;OSORNO;C.S. OSORNO;ESPINOSA DE VILLAGONZALO;P.A.C. Osorno
G.A.P. BURGOS;170204;BELORADO;C.S. BELORADO;ESPINOSA DEL CAMINO;P.A.C. Belorado
G.A.S. SEGOVIA;170711;SEGOVIA RURAL;C.S. SEGOVIA RURAL;ESPIRDO;P.A.C. Segovia Rural
G.A.P. BURGOS;170209;BURGOS RURAL SUR;C.S. BURGOS RURAL SUR;ESTEPAR;P.A.C. Burgos Rural Norte Sur
G.A.S. EL BIERZO;170403;FABERO;C.S. FABERO;FABERO;P.A.C. Fabero
G.A.S. ZAMORA;171116;TABARA;C.S. TABARA;FARAMONTANOS DE TABARA;P.A.C. Tábara
G.A.S. ZAMORA;171115;SAYAGO;C.S. BERMILLO DE SAYAGO;FARIZA;P.A.C. Bermillo De Sayago
G.A.S. ZAMORA;171115;SAYAGO;C.S. BERMILLO DE SAYAGO;FERMOSELLE;P.A.C. Bermillo De Sayago
G.A.S. ZAMORA;171116;TABARA;C.S. TABARA;FERRERAS DE ABAJO;P.A.C. Tábara
G.A.S. ZAMORA;171116;TABARA;C.S. TABARA;FERRERAS DE ARRIBA;P.A.C. Tábara
G.A.S. ZAMORA;171109;CARBALLEDA;C.S. MOMBUEY;FERRERAS DE ARRIBA;P.A.C. Mombuey
G.A.S. ZAMORA;171116;TABARA;C.S. TABARA;FERRERUELA;P.A.C. Tábara
G.A.S. ZAMORA;171102;ALISTE;C.S. ALCAÑICES;FIGUERUELA DE ARRIBA;P.A.C. Alcañices
G.A.S. AVILA;170112;FONTIVEROS;C.S. FONTIVEROS;FLORES DE AVILA;P.A.C. Fontiveros
G.A.S. EL BIERZO;170401;BEMBIBRE;C.S. BEMBIBRE;FOLGOSO DE LA RIBERA;P.A.C. Bembibre (4)
G.A.P. VALLADOLID ESTE;171002;ESGUEVILLAS ESGUEVA;C.S. ESGUEVILLAS;FOMBELLIDA;P.A.C. Esguevillas
G.A.P. VALLADOLID ESTE;171015;PEÑAFIEL;C.S. PEÑAFIEL;FOMPEDRAZA;P.A.C. Peñafiel
G.A.S. ZAMORA;171102;ALISTE;C.S. ALCAÑICES;FONFRIA;P.A.C. Alcañices
G.A.P. VALLADOLID OESTE;170925;VILLALON DE CAMPOS;C.S. VILLALON DE CAMPOS;FONTIHOYUELO;P.A.C. Villalón De Campos
G.A.P. BURGOS;170216;LERMA;C.S. LERMA;FONTIOSO;P.A.C. Lerma
G.A.S. AVILA;170112;FONTIVEROS;C.S. FONTIVEROS;FONTIVEROS;P.A.C. Fontiveros
G.A.P. SALAMANCA;170604;CALZADA DE VALDUNCIEL;C.S. CALZADA VALDUNCIEL;FORFOLEDA;P.A.C. Calzada Valdunciel
G.A.P. SALAMANCA;170617;LINARES DE RIOFRIO;C.S. LINARES DE RIOFRIO;FRADES DE LA SIERRA;P.A.C. Linares De Riofrío
G.A.P. BURGOS;170209;BURGOS RURAL SUR;C.S. BURGOS RURAL SUR;FRANDOVINEZ;P.A.C. Burgos Rural Norte Sur
G.A.S. PALENCIA;170518;VILLARRAMIEL;C.S. VILLARRAMIEL;FRECHILLA;P.A.C. Villarramiel
G.A.P. SALAMANCA;170618;LUMBRALES;C.S. LUMBRALES;FREGENEDA (LA);P.A.C. Lumbrales
G.A.S. SEGOVIA;170703;CUELLAR;C.S. CUELLAR;FRESNEDA DE CUELLAR;P.A.C. Cuellar
G.A.P. BURGOS;170204;BELORADO;C.S. BELORADO;FRESNEDA DE LA SIERRA TIRON;P.A.C. Belorado
G.A.S. AVILA;170119;SOTILLO DE LA ADRADA;C.S. SOTILLO DE ADRADA;FRESNEDILLA;P.A.C. Sotillo De Adrada
G.A.P. SALAMANCA;170613;GUIJUELO;C.S. GUIJUELO;FRESNEDOSO;P.A.C. Guijuelo
G.A.P. BURGOS;170204;BELORADO;C.S. BELORADO;FRESNEÑA;P.A.C. Belorado
G.A.P. BURGOS;170202;ARANDA DE DUERO RURAL;C.S. ARANDA RURAL;FRESNILLO DE LAS DUEÑAS;P.A.C. Aranda
G.A.S. AVILA;170105;AVILA RURAL;C.S. AVILA RURAL;FRESNO (EL);P.A.C. Ávila Rural
G.A.P. SALAMANCA;170601;ALBA DE TORMES;C.S. ALBA DE TORMES;FRESNO ALHANDIGA;P.A.C. Alba De Tormes
G.A.S. SEGOVIA;170707;RIAZA;C.S. RIAZA;FRESNO DE CANTESPINO;P.A.C. Riaza
G.A.S. SORIA;170805;BURGO DE OSMA;C.S. EL BURGO DE OSMA;FRESNO DE CARACENA;P.A.C. El Burgo De Osma
G.A.S. SEGOVIA;170712;SEPULVEDA;C.S. SEPULVEDA;FRESNO DE LA FUENTE;P.A.C. Sepúlveda
G.A.S. ZAMORA;171104;BENAVENTE NORTE;C.S. BENAVENTE NORTE;FRESNO DE LA POLVOROSA;P.A.C. Benavente
G.A.S. ZAMORA;171121;ZAMORA NORTE;C.S. ZAMORA NORTE;FRESNO DE LA RIBERA;P.A.C. Zamora Integrado
G.A.P. LEON;170327;VALENCIA DE DON JUAN;C.S. VALENCIA DE D. JUAN;FRESNO DE LA VEGA;P.A.C. Valencia De D. Juan
G.A.P. BURGOS;170204;BELORADO;C.S. BELORADO;FRESNO DE RIO TIRON;P.A.C. Belorado
G.A.P. BURGOS;170208;BURGOS RURAL NORTE;C.S. BURGOS RURAL NORTE;FRESNO DE RODILLA;P.A.C. Burgos Rural Norte Sur
G.A.S. ZAMORA;171115;SAYAGO;C.S. BERMILLO DE SAYAGO;FRESNO DE SAYAGO;P.A.C. Bermillo De Sayago
G.A.S. PALENCIA;170506;GUARDO;C.S. GUARDO;FRESNO DEL RIO;P.A.C. Guardo
G.A.P. VALLADOLID ESTE;171021;MEDINA DEL CAMPO RURAL;C.S. MEDINA CAMPO RURAL;FRESNO EL VIEJO;P.A.C. Medina
G.A.P. BURGOS;170231;VALLE DE TOBALINA;C.S. VALLE TOBALINA;FRIAS;P.A.C. Valle Tobalina
G.A.S. ZAMORA;171105;BENAVENTE SUR;C.S. BENAVENTE SUR;FRIERA DE VALVERDE;P.A.C. Benavente
G.A.S. PALENCIA;170505;FROMISTA;C.S. FROMISTA;FROMISTA;P.A.C. Frómista
G.A.S. SEGOVIA;170703;CUELLAR;C.S. CUELLAR;FRUMALES;P.A.C. Cuellar
G.A.P. VALLADOLID ESTE;171026;CIGALES;C.S. CIGALES;FUENSALDAÑA;P.A.C. Cigales
G.A.P. SALAMANCA;170608;FUENTE DE SAN ESTEBAN LA;C.S. FUENTE DE SAN ESTEBAN;FUENTE DE SAN ESTEBAN (LA);P.A.C. Fuente De San Esteban
G.A.S. SEGOVIA;170706;NAVA DE LA ASUNCION;C.S. NAVA DE LA ASUNCION;FUENTE DE SANTA CRUZ;P.A.C. Nava De La Asunción
G.A.S. SEGOVIA;170701;CANTALEJO;C.S. CANTALEJO;FUENTE EL OLMO DE FUENTIDUEÑA;P.A.C. Cantalejo
G.A.P. VALLADOLID ESTE;171006;ISCAR;C.S. ISCAR;FUENTE EL OLMO DE ISCAR;P.A.C. Íscar
G.A.S. AVILA;170112;FONTIVEROS;C.S. FONTIVEROS;FUENTE EL SAUZ;P.A.C. Fontiveros
G.A.P. VALLADOLID ESTE;171021;MEDINA DEL CAMPO RURAL;C.S. MEDINA CAMPO RURAL;FUENTE EL SOL;P.A.C. Medina
G.A.S. ZAMORA;171118;VIDRIALES;C.S. SANTIBAÑEZ VIDRIAL;FUENTE ENCALADA;P.A.C. Santibañez Vidriales
G.A.P. VALLADOLID ESTE;171020;OLMEDO;C.S. OLMEDO;FUENTE-OLMEDO;P.A.C. Olmedo
G.A.S. SORIA;170806;SAN ESTEBAN DE GORMAZ;C.S. SAN ESTEBAN GORMAZ;FUENTEARMEGIL;P.A.C. San Esteban Gormaz
G.A.P. BURGOS;170205;BRIVIESCA;C.S. BRIVIESCA;FUENTEBUREBA;P.A.C. Briviesca
G.A.S. SORIA;170806;SAN ESTEBAN DE GORMAZ;C.S. SAN ESTEBAN GORMAZ;FUENTECAMBRON;P.A.C. San Esteban Gormaz
G.A.S. SORIA;170811;SORIA RURAL;C.S. SORIA RURAL;FUENTECANTOS;P.A.C. Soria Rural Norte Y Sur
G.A.P. BURGOS;170225;ROA DE DUERO;C.S. ROA DE DUERO;FUENTECEN;P.A.C. Roa De Duero
G.A.P. SALAMANCA;170609;FUENTEGUINALDO;C.S. FUENTEGUINALDO;FUENTEGUINALDO;P.A.C. Fuenteguinaldo
G.A.S. ZAMORA;171113;GUAREÑA;C.S. LA GUAREÑA;FUENTELAPEÑA;P.A.C. La Guareña
G.A.P. BURGOS;170202;ARANDA DE DUERO RURAL;C.S. ARANDA RURAL;FUENTELCESPED;P.A.C. Aranda
G.A.P. SALAMANCA;170618;LUMBRALES;C.S. LUMBRALES;FUENTELIANTE;P.A.C. Lumbrales
G.A.P. BURGOS;170225;ROA DE DUERO;C.S. ROA DE DUERO;FUENTELISENDO;P.A.C. Roa De Duero
G.A.S. SORIA;170807;GOMARA;C.S. GOMARA;FUENTELMONGE;P.A.C. Gómara
G.A.P. BURGOS;170225;ROA DE DUERO;C.S. ROA DE DUERO;FUENTEMOLINOS;P.A.C. Roa De Duero
G.A.P. BURGOS;170202;ARANDA DE DUERO RURAL;C.S. ARANDA RURAL;FUENTENEBRO;P.A.C. Aranda
G.A.S. SEGOVIA;170702;CARBONERO EL MAYOR;C.S. CARBONERO EL MAYOR;FUENTEPELAYO;P.A.C. Carbonero El Mayor
G.A.S. SEGOVIA;170704;FUENTESAUCO DE FUENTIDUEÑA;C.S. FUENTESAUCO;FUENTEPIÑEL;P.A.C. Fuentesauco
G.A.S. SORIA;170804;BERLANGA DE DUERO;C.S. BERLANGA DE DUERO;FUENTEPINILLA;P.A.C. Berlanga De Duero
G.A.S. SEGOVIA;170701;CANTALEJO;C.S. CANTALEJO;FUENTERREBOLLO;P.A.C. Cantalejo
G.A.P. SALAMANCA;170613;GUIJUELO;C.S. GUIJUELO;FUENTERROBLE DE SALVATIERRA;P.A.C. Guijuelo
G.A.S. AVILA;170102;AREVALO;C.S. AREVALO;FUENTES DE AÑO;P.A.C. Arévalo
G.A.P. SALAMANCA;170613;GUIJUELO;C.S. GUIJUELO;FUENTES DE BEJAR;P.A.C. Guijuelo
G.A.P. LEON;170327;VALENCIA DE DON JUAN;C.S. VALENCIA DE D. JUAN;FUENTES DE CARBAJAL;P.A.C. Valencia De D. Juan
G.A.S. SORIA;170812;SAN PEDRO MANRIQUE;C.S. S.PEDRO MANRIQUE;FUENTES DE MAGAÑA;P.A.C. S.Pedro Manrique
G.A.S. PALENCIA;170512;PAREDES DE NAVA;C.S. PAREDES DE NAVA;FUENTES DE NAVA;P.A.C. Paredes De Nava
G.A.P. SALAMANCA;170610;FUENTES DE OÑORO;C.S. FUENTES DE OÑORO;FUENTES DE OÑORO;P.A.C. Fuentes De Oñoro
G.A.S. ZAMORA;171105;BENAVENTE SUR;C.S. BENAVENTE SUR;FUENTES DE ROPEL;P.A.C. Benavente
G.A.S. PALENCIA;170511;PALENCIA RURAL;C.S. PALENCIA RURAL;FUENTES DE VALDEPERO;P.A.C. Palencia
G.A.S. ZAMORA;171113;GUAREÑA;C.S. LA GUAREÑA;FUENTESAUCO;P.A.C. La Guareña
G.A.S. SEGOVIA;170704;FUENTESAUCO DE FUENTIDUEÑA;C.S. FUENTESAUCO;FUENTESAUCO DE FUENTIDUEÑA;P.A.C. Fuentesauco
G.A.S. ZAMORA;171117;TORO;C.S. TORO;FUENTESECAS;P.A.C. Toro
G.A.S. SEGOVIA;170716;SACRAMENIA;C.S. SACRAMENIA;FUENTESOTO;P.A.C. Sacramenia
G.A.P. BURGOS;170202;ARANDA DE DUERO RURAL;C.S. ARANDA RURAL;FUENTESPINA;P.A.C. Aranda
G.A.S. ZAMORA;171110;CORRALES DEL VINO;C.S. CORRALES DEL VINO;FUENTESPREADAS;P.A.C. Corrales Del Vino
G.A.S. SORIA;170801;AGREDA;C.S. AGREDA;FUENTESTRUN;P.A.C. Ágreda
G.A.S. SEGOVIA;170716;SACRAMENIA;C.S. SACRAMENIA;FUENTIDUEÑA;P.A.C. Sacramenia
G.A.P. SALAMANCA;170601;ALBA DE TORMES;C.S. ALBA DE TORMES;GAJATES;P.A.C. Alba De Tormes
G.A.S. ZAMORA;171114;SANABRIA;C.S. PUEBLA DE SANABRIA;GALENDE;P.A.C. Puebla De Sanabria
G.A.P. SALAMANCA;170623;PERIURBANA SUR;C.S. PERIURBANO SUR;GALINDO Y PERAHUY;P.A.C. Periurbano Sur
G.A.P. SALAMANCA;170601;ALBA DE TORMES;C.S. ALBA DE TORMES;GALINDUSTE;P.A.C. Alba De Tormes
G.A.P. SALAMANCA;170601;ALBA DE TORMES;C.S. ALBA DE TORMES;GALISANCHO;P.A.C. Alba De Tormes
